College Code,Caste,Gender,Region,Branch,Last Rank
ABRK,BC_A,F,AU,AGR,0
ABRK,BC_A,M,AU,AGR,0
ABRK,BC_B,F,AU,AGR,136141
ABRK,BC_B,M,AU,AGR,0
ABRK,BC_C,F,AU,AGR,0
ABRK,BC_C,M,AU,AGR,0
ABRK,BC_D,F,AU,AGR,171763
ABRK,BC_D,M,AU,AGR,171763
ABRK,BC_E,F,AU,AGR,0
ABRK,BC_E,M,AU,AGR,0
ABRK,OC,F,AU,AGR,0
ABRK,OC,M,AU,AGR,153348
ABRK,SC,F,AU,AGR,0
ABRK,SC,M,AU,AGR,169140
ABRK,ST,F,AU,AGR,0
ABRK,ST,M,AU,AGR,89071
ABRK,EWS,F,AU,AGR,
ABRK,EWS,M,AU,AGR,
ABRK,BC_A,F,AU,CAI,0
ABRK,BC_A,M,AU,CAI,177124
ABRK,BC_B,F,AU,CAI,151262
ABRK,BC_B,M,AU,CAI,0
ABRK,BC_C,F,AU,CAI,0
ABRK,BC_C,M,AU,CAI,0
ABRK,BC_D,F,AU,CAI,0
ABRK,BC_D,M,AU,CAI,139044
ABRK,BC_E,F,AU,CAI,0
ABRK,BC_E,M,AU,CAI,0
ABRK,OC,F,AU,CAI,0
ABRK,OC,M,AU,CAI,174582
ABRK,SC,F,AU,CAI,0
ABRK,SC,M,AU,CAI,165253
ABRK,ST,F,AU,CAI,0
ABRK,ST,M,AU,CAI,0
ABRK,EWS,F,AU,CAI,
ABRK,EWS,M,AU,CAI,
ABRK,BC_A,F,AU,CIV,0
ABRK,BC_A,M,AU,CIV,0
ABRK,BC_B,F,AU,CIV,0
ABRK,BC_B,M,AU,CIV,173913
ABRK,BC_C,F,AU,CIV,0
ABRK,BC_C,M,AU,CIV,0
ABRK,BC_D,F,AU,CIV,125239
ABRK,BC_D,M,AU,CIV,0
ABRK,BC_E,F,AU,CIV,0
ABRK,BC_E,M,AU,CIV,0
ABRK,OC,F,AU,CIV,0
ABRK,OC,M,AU,CIV,150345
ABRK,SC,F,AU,CIV,0
ABRK,SC,M,AU,CIV,171940
ABRK,ST,F,AU,CIV,0
ABRK,ST,M,AU,CIV,0
ABRK,EWS,F,AU,CIV,
ABRK,EWS,M,AU,CIV,
ABRK,BC_A,F,AU,CSD,0
ABRK,BC_A,M,AU,CSD,164375
ABRK,BC_B,F,AU,CSD,0
ABRK,BC_B,M,AU,CSD,150331
ABRK,BC_C,F,AU,CSD,0
ABRK,BC_C,M,AU,CSD,0
ABRK,BC_D,F,AU,CSD,121582
ABRK,BC_D,M,AU,CSD,0
ABRK,BC_E,F,AU,CSD,0
ABRK,BC_E,M,AU,CSD,0
ABRK,OC,F,AU,CSD,0
ABRK,OC,M,AU,CSD,0
ABRK,SC,F,AU,CSD,0
ABRK,SC,M,AU,CSD,151377
ABRK,ST,F,AU,CSD,0
ABRK,ST,M,AU,CSD,0
ABRK,EWS,F,AU,CSD,
ABRK,EWS,M,AU,CSD,
ABRK,BC_A,F,AU,CSE,149876
ABRK,BC_A,M,AU,CSE,126567
ABRK,BC_B,F,AU,CSE,142300
ABRK,BC_B,M,AU,CSE,151341
ABRK,BC_C,F,AU,CSE,0
ABRK,BC_C,M,AU,CSE,0
ABRK,BC_D,F,AU,CSE,148578
ABRK,BC_D,M,AU,CSE,99928
ABRK,BC_E,F,AU,CSE,0
ABRK,BC_E,M,AU,CSE,0
ABRK,OC,F,AU,CSE,171324
ABRK,OC,M,AU,CSE,153342
ABRK,SC,F,AU,CSE,168436
ABRK,SC,M,AU,CSE,137895
ABRK,ST,F,AU,CSE,0
ABRK,ST,M,AU,CSE,160186
ABRK,EWS,F,AU,CSE,121972
ABRK,EWS,M,AU,CSE,153342
ABRK,BC_A,F,AU,ECE,0
ABRK,BC_A,M,AU,ECE,140166
ABRK,BC_B,F,AU,ECE,0
ABRK,BC_B,M,AU,ECE,0
ABRK,BC_C,F,AU,ECE,0
ABRK,BC_C,M,AU,ECE,0
ABRK,BC_D,F,AU,ECE,0
ABRK,BC_D,M,AU,ECE,150652
ABRK,BC_E,F,AU,ECE,0
ABRK,BC_E,M,AU,ECE,166505
ABRK,OC,F,AU,ECE,126666
ABRK,OC,M,AU,ECE,175079
ABRK,SC,F,AU,ECE,146523
ABRK,SC,M,AU,ECE,176342
ABRK,ST,F,AU,ECE,0
ABRK,ST,M,AU,ECE,137241
ABRK,EWS,F,AU,ECE,
ABRK,EWS,M,AU,ECE,175079
ABRK,BC_A,F,AU,EEE,0
ABRK,BC_A,M,AU,EEE,0
ABRK,BC_B,F,AU,EEE,0
ABRK,BC_B,M,AU,EEE,0
ABRK,BC_C,F,AU,EEE,0
ABRK,BC_C,M,AU,EEE,0
ABRK,BC_D,F,AU,EEE,0
ABRK,BC_D,M,AU,EEE,159004
ABRK,BC_E,F,AU,EEE,0
ABRK,BC_E,M,AU,EEE,0
ABRK,OC,F,AU,EEE,0
ABRK,OC,M,AU,EEE,124298
ABRK,SC,F,AU,EEE,0
ABRK,SC,M,AU,EEE,124067
ABRK,ST,F,AU,EEE,0
ABRK,ST,M,AU,EEE,0
ABRK,EWS,F,AU,EEE,
ABRK,EWS,M,AU,EEE,
ABRK,BC_A,F,AU,MEC,72849
ABRK,BC_A,M,AU,MEC,0
ABRK,BC_B,F,AU,MEC,0
ABRK,BC_B,M,AU,MEC,0
ABRK,BC_C,F,AU,MEC,0
ABRK,BC_C,M,AU,MEC,0
ABRK,BC_D,F,AU,MEC,0
ABRK,BC_D,M,AU,MEC,106519
ABRK,BC_E,F,AU,MEC,0
ABRK,BC_E,M,AU,MEC,0
ABRK,OC,F,AU,MEC,0
ABRK,OC,M,AU,MEC,156522
ABRK,SC,F,AU,MEC,0
ABRK,SC,M,AU,MEC,0
ABRK,ST,F,AU,MEC,0
ABRK,ST,M,AU,MEC,0
ABRK,EWS,F,AU,MEC,
ABRK,EWS,M,AU,MEC,
ABRK,BC_A,F,AU,MIN,0
ABRK,BC_A,M,AU,MIN,0
ABRK,BC_B,F,AU,MIN,82922
ABRK,BC_B,M,AU,MIN,0
ABRK,BC_C,F,AU,MIN,0
ABRK,BC_C,M,AU,MIN,0
ABRK,BC_D,F,AU,MIN,0
ABRK,BC_D,M,AU,MIN,161624
ABRK,BC_E,F,AU,MIN,0
ABRK,BC_E,M,AU,MIN,0
ABRK,OC,F,AU,MIN,0
ABRK,OC,M,AU,MIN,0
ABRK,SC,F,AU,MIN,0
ABRK,SC,M,AU,MIN,176662
ABRK,ST,F,AU,MIN,0
ABRK,ST,M,AU,MIN,0
ABRK,EWS,F,AU,MIN,
ABRK,EWS,M,AU,MIN,
ACEE,BC_A,F,AU,CIV,0
ACEE,BC_A,M,AU,CIV,120655
ACEE,BC_B,F,AU,CIV,0
ACEE,BC_B,M,AU,CIV,168534
ACEE,BC_C,F,AU,CIV,0
ACEE,BC_C,M,AU,CIV,0
ACEE,BC_D,F,AU,CIV,172500
ACEE,BC_D,M,AU,CIV,0
ACEE,BC_E,F,AU,CIV,0
ACEE,BC_E,M,AU,CIV,0
ACEE,OC,F,AU,CIV,0
ACEE,OC,M,AU,CIV,173247
ACEE,SC,F,AU,CIV,0
ACEE,SC,M,AU,CIV,177477
ACEE,ST,F,AU,CIV,155496
ACEE,ST,M,AU,CIV,165518
ACEE,EWS,F,AU,CIV,
ACEE,EWS,M,AU,CIV,
ACEE,BC_A,F,AU,CSE,155693
ACEE,BC_A,M,AU,CSE,161249
ACEE,BC_B,F,AU,CSE,136115
ACEE,BC_B,M,AU,CSE,125693
ACEE,BC_C,F,AU,CSE,0
ACEE,BC_C,M,AU,CSE,0
ACEE,BC_D,F,AU,CSE,109635
ACEE,BC_D,M,AU,CSE,90104
ACEE,BC_E,F,AU,CSE,121696
ACEE,BC_E,M,AU,CSE,134632
ACEE,OC,F,AU,CSE,106502
ACEE,OC,M,AU,CSE,103314
ACEE,SC,F,AU,CSE,127225
ACEE,SC,M,AU,CSE,141291
ACEE,ST,F,AU,CSE,154156
ACEE,ST,M,AU,CSE,121846
ACEE,EWS,F,AU,CSE,106502
ACEE,EWS,M,AU,CSE,103314
ACEE,BC_A,F,AU,ECE,0
ACEE,BC_A,M,AU,ECE,172486
ACEE,BC_B,F,AU,ECE,151833
ACEE,BC_B,M,AU,ECE,147327
ACEE,BC_C,F,AU,ECE,0
ACEE,BC_C,M,AU,ECE,0
ACEE,BC_D,F,AU,ECE,110181
ACEE,BC_D,M,AU,ECE,100149
ACEE,BC_E,F,AU,ECE,0
ACEE,BC_E,M,AU,ECE,0
ACEE,OC,F,AU,ECE,118267
ACEE,OC,M,AU,ECE,45082
ACEE,SC,F,AU,ECE,143682
ACEE,SC,M,AU,ECE,177676
ACEE,ST,F,AU,ECE,157250
ACEE,ST,M,AU,ECE,144849
ACEE,EWS,F,AU,ECE,118267
ACEE,EWS,M,AU,ECE,
ACEE,BC_A,F,AU,EEE,0
ACEE,BC_A,M,AU,EEE,121076
ACEE,BC_B,F,AU,EEE,168538
ACEE,BC_B,M,AU,EEE,170191
ACEE,BC_C,F,AU,EEE,0
ACEE,BC_C,M,AU,EEE,0
ACEE,BC_D,F,AU,EEE,170736
ACEE,BC_D,M,AU,EEE,160891
ACEE,BC_E,F,AU,EEE,0
ACEE,BC_E,M,AU,EEE,0
ACEE,OC,F,AU,EEE,141210
ACEE,OC,M,AU,EEE,175975
ACEE,SC,F,AU,EEE,175842
ACEE,SC,M,AU,EEE,168471
ACEE,ST,F,AU,EEE,0
ACEE,ST,M,AU,EEE,0
ACEE,EWS,F,AU,EEE,
ACEE,EWS,M,AU,EEE,175975
ACEE,BC_A,F,AU,MEC,0
ACEE,BC_A,M,AU,MEC,0
ACEE,BC_B,F,AU,MEC,0
ACEE,BC_B,M,AU,MEC,136514
ACEE,BC_C,F,AU,MEC,0
ACEE,BC_C,M,AU,MEC,0
ACEE,BC_D,F,AU,MEC,109612
ACEE,BC_D,M,AU,MEC,170170
ACEE,BC_E,F,AU,MEC,0
ACEE,BC_E,M,AU,MEC,0
ACEE,OC,F,AU,MEC,0
ACEE,OC,M,AU,MEC,172820
ACEE,SC,F,AU,MEC,0
ACEE,SC,M,AU,MEC,164208
ACEE,ST,F,AU,MEC,0
ACEE,ST,M,AU,MEC,152545
ACEE,EWS,F,AU,MEC,
ACEE,EWS,M,AU,MEC,172820
ACET,BC_A,F,AU,CIV,109124
ACET,BC_A,M,AU,CIV,130392
ACET,BC_B,F,AU,CIV,98153
ACET,BC_B,M,AU,CIV,103308
ACET,BC_C,F,AU,CIV,0
ACET,BC_C,M,AU,CIV,0
ACET,BC_D,F,AU,CIV,121793
ACET,BC_D,M,AU,CIV,88856
ACET,BC_E,F,AU,CIV,0
ACET,BC_E,M,AU,CIV,0
ACET,OC,F,AU,CIV,81067
ACET,OC,M,AU,CIV,72009
ACET,SC,F,AU,CIV,175475
ACET,SC,M,AU,CIV,147792
ACET,ST,F,AU,CIV,121894
ACET,ST,M,AU,CIV,108103
ACET,EWS,F,AU,CIV,81067
ACET,EWS,M,AU,CIV,72009
ACET,BC_A,F,AU,CSD,73175
ACET,BC_A,M,AU,CSD,68695
ACET,BC_B,F,AU,CSD,67995
ACET,BC_B,M,AU,CSD,64627
ACET,BC_C,F,AU,CSD,131924
ACET,BC_C,M,AU,CSD,0
ACET,BC_D,F,AU,CSD,49646
ACET,BC_D,M,AU,CSD,49495
ACET,BC_E,F,AU,CSD,107605
ACET,BC_E,M,AU,CSD,150056
ACET,OC,F,AU,CSD,39623
ACET,OC,M,AU,CSD,38653
ACET,SC,F,AU,CSD,160622
ACET,SC,M,AU,CSD,153792
ACET,ST,F,AU,CSD,0
ACET,ST,M,AU,CSD,0
ACET,EWS,F,AU,CSD,39623
ACET,EWS,M,AU,CSD,38653
ACET,BC_A,F,AU,CSE,46347
ACET,BC_A,M,AU,CSE,43757
ACET,BC_B,F,AU,CSE,43130
ACET,BC_B,M,AU,CSE,42796
ACET,BC_C,F,AU,CSE,103952
ACET,BC_C,M,AU,CSE,92163
ACET,BC_D,F,AU,CSE,32221
ACET,BC_D,M,AU,CSE,31369
ACET,BC_E,F,AU,CSE,91707
ACET,BC_E,M,AU,CSE,86570
ACET,OC,F,AU,CSE,28767
ACET,OC,M,AU,CSE,27992
ACET,SC,F,AU,CSE,88458
ACET,SC,M,AU,CSE,90235
ACET,ST,F,AU,CSE,156312
ACET,ST,M,AU,CSE,162100
ACET,EWS,F,AU,CSE,28767
ACET,EWS,M,AU,CSE,27992
ACET,BC_A,F,AU,CSM,68222
ACET,BC_A,M,AU,CSM,58708
ACET,BC_B,F,AU,CSM,64713
ACET,BC_B,M,AU,CSM,59902
ACET,BC_C,F,AU,CSM,0
ACET,BC_C,M,AU,CSM,116275
ACET,BC_D,F,AU,CSM,47881
ACET,BC_D,M,AU,CSM,47375.1
ACET,BC_E,F,AU,CSM,142961
ACET,BC_E,M,AU,CSM,168001
ACET,OC,F,AU,CSM,36399
ACET,OC,M,AU,CSM,36444
ACET,SC,F,AU,CSM,173032
ACET,SC,M,AU,CSM,155838
ACET,ST,F,AU,CSM,0
ACET,ST,M,AU,CSM,0
ACET,EWS,F,AU,CSM,36399
ACET,EWS,M,AU,CSM,36444
ACET,BC_A,F,AU,ECE,80763
ACET,BC_A,M,AU,ECE,69470
ACET,BC_B,F,AU,ECE,65671
ACET,BC_B,M,AU,ECE,64539
ACET,BC_C,F,AU,ECE,99432
ACET,BC_C,M,AU,ECE,67761
ACET,BC_D,F,AU,ECE,47429
ACET,BC_D,M,AU,ECE,47243
ACET,BC_E,F,AU,ECE,76712
ACET,BC_E,M,AU,ECE,163207
ACET,OC,F,AU,ECE,41253
ACET,OC,M,AU,ECE,40917
ACET,SC,F,AU,ECE,153240
ACET,SC,M,AU,ECE,141965
ACET,ST,F,AU,ECE,0
ACET,ST,M,AU,ECE,165111
ACET,EWS,F,AU,ECE,41253
ACET,EWS,M,AU,ECE,40917
ACET,BC_A,F,AU,EEE,99964
ACET,BC_A,M,AU,EEE,84645
ACET,BC_B,F,AU,EEE,88701
ACET,BC_B,M,AU,EEE,81908
ACET,BC_C,F,AU,EEE,0
ACET,BC_C,M,AU,EEE,0
ACET,BC_D,F,AU,EEE,65799
ACET,BC_D,M,AU,EEE,62408
ACET,BC_E,F,AU,EEE,0
ACET,BC_E,M,AU,EEE,0
ACET,OC,F,AU,EEE,55707
ACET,OC,M,AU,EEE,53301
ACET,SC,F,AU,EEE,160416
ACET,SC,M,AU,EEE,152384
ACET,ST,F,AU,EEE,0
ACET,ST,M,AU,EEE,0
ACET,EWS,F,AU,EEE,55707
ACET,EWS,M,AU,EEE,53301
ACET,BC_A,F,AU,INF,71207
ACET,BC_A,M,AU,INF,69448
ACET,BC_B,F,AU,INF,57658
ACET,BC_B,M,AU,INF,60924
ACET,BC_C,F,AU,INF,0
ACET,BC_C,M,AU,INF,140060
ACET,BC_D,F,AU,INF,54743
ACET,BC_D,M,AU,INF,53156
ACET,BC_E,F,AU,INF,142523
ACET,BC_E,M,AU,INF,131808
ACET,OC,F,AU,INF,40550
ACET,OC,M,AU,INF,39624
ACET,SC,F,AU,INF,158393
ACET,SC,M,AU,INF,156584
ACET,ST,F,AU,INF,0
ACET,ST,M,AU,INF,0
ACET,EWS,F,AU,INF,40550
ACET,EWS,M,AU,INF,39624
ACET,BC_A,F,AU,MEC,140829
ACET,BC_A,M,AU,MEC,112326
ACET,BC_B,F,AU,MEC,166065
ACET,BC_B,M,AU,MEC,98993
ACET,BC_C,F,AU,MEC,0
ACET,BC_C,M,AU,MEC,0
ACET,BC_D,F,AU,MEC,136129
ACET,BC_D,M,AU,MEC,76669
ACET,BC_E,F,AU,MEC,0
ACET,BC_E,M,AU,MEC,142038
ACET,OC,F,AU,MEC,150098
ACET,OC,M,AU,MEC,84177
ACET,SC,F,AU,MEC,0
ACET,SC,M,AU,MEC,155803
ACET,ST,F,AU,MEC,0
ACET,ST,M,AU,MEC,0
ACET,EWS,F,AU,MEC,150098
ACET,EWS,M,AU,MEC,84177
ADIT,BC_A,F,AU,CIV,123387
ADIT,BC_A,M,AU,CIV,109319
ADIT,BC_B,F,AU,CIV,142205
ADIT,BC_B,M,AU,CIV,132790
ADIT,BC_C,F,AU,CIV,0
ADIT,BC_C,M,AU,CIV,0
ADIT,BC_D,F,AU,CIV,92484
ADIT,BC_D,M,AU,CIV,96634
ADIT,BC_E,F,AU,CIV,0
ADIT,BC_E,M,AU,CIV,110965
ADIT,OC,F,AU,CIV,0
ADIT,OC,M,AU,CIV,173753
ADIT,SC,F,AU,CIV,153165
ADIT,SC,M,AU,CIV,172248
ADIT,ST,F,AU,CIV,0
ADIT,ST,M,AU,CIV,67519
ADIT,EWS,F,AU,CIV,
ADIT,EWS,M,AU,CIV,173753
ADIT,BC_A,F,AU,CSD,67987
ADIT,BC_A,M,AU,CSD,66133
ADIT,BC_B,F,AU,CSD,86544
ADIT,BC_B,M,AU,CSD,71648
ADIT,BC_C,F,AU,CSD,0
ADIT,BC_C,M,AU,CSD,0
ADIT,BC_D,F,AU,CSD,47196
ADIT,BC_D,M,AU,CSD,47176
ADIT,BC_E,F,AU,CSD,0
ADIT,BC_E,M,AU,CSD,167083
ADIT,OC,F,AU,CSD,83754
ADIT,OC,M,AU,CSD,62573
ADIT,SC,F,AU,CSD,169345
ADIT,SC,M,AU,CSD,163720
ADIT,ST,F,AU,CSD,0
ADIT,ST,M,AU,CSD,0
ADIT,EWS,F,AU,CSD,83754
ADIT,EWS,M,AU,CSD,62573
ADIT,BC_A,F,AU,CSE,49423
ADIT,BC_A,M,AU,CSE,49742
ADIT,BC_B,F,AU,CSE,49070
ADIT,BC_B,M,AU,CSE,51095
ADIT,BC_C,F,AU,CSE,0
ADIT,BC_C,M,AU,CSE,163876
ADIT,BC_D,F,AU,CSE,34287
ADIT,BC_D,M,AU,CSE,30413
ADIT,BC_E,F,AU,CSE,78031
ADIT,BC_E,M,AU,CSE,163424
ADIT,OC,F,AU,CSE,51888
ADIT,OC,M,AU,CSE,50937
ADIT,SC,F,AU,CSE,122999
ADIT,SC,M,AU,CSE,117616
ADIT,ST,F,AU,CSE,136042
ADIT,ST,M,AU,CSE,158687
ADIT,EWS,F,AU,CSE,51888
ADIT,EWS,M,AU,CSE,50937
ADIT,BC_A,F,AU,CSM,58705
ADIT,BC_A,M,AU,CSM,58869
ADIT,BC_B,F,AU,CSM,65120
ADIT,BC_B,M,AU,CSM,63996
ADIT,BC_C,F,AU,CSM,0
ADIT,BC_C,M,AU,CSM,0
ADIT,BC_D,F,AU,CSM,42618
ADIT,BC_D,M,AU,CSM,42559
ADIT,BC_E,F,AU,CSM,0
ADIT,BC_E,M,AU,CSM,0
ADIT,OC,F,AU,CSM,63556.1
ADIT,OC,M,AU,CSM,57661
